#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
1895;20/08/2026 14:19:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM5;;
1896;20/08/2026 14:19:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);DOWN;STATUS_PENDING;;"";;;COM5;;
1897;20/08/2026 14:19:53;IRP_MJ_READ;DOWN;STATUS_PENDING;;"";;1;COM5;;
1898;20/08/2026 14:19:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;01 00 00 00 ;"....";4;;COM5;;
1899;20/08/2026 14:19:53;IRP_MJ_READ;UP;STATUS_SUCCESS;0c ;".";1;;COM5;;
1900;20/08/2026 14:19:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;STATUS_PENDING;;"";;;COM5;;
1901;20/08/2026 14:19:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM5;;
1902;20/08/2026 14:19:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);DOWN;STATUS_PENDING;;"";;;COM5;;
1903;20/08/2026 14:19:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;STATUS_PENDING;;"";;;COM5;;
1904;20/08/2026 14:19:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM5;;
1905;20/08/2026 14:19:53;IRP_MJ_WRITE;DOWN;STATUS_PENDING;03 ;".";1;1;COM5;;
1906;20/08/2026 14:19:53;IRP_MJ_WRITE;UP;STATUS_SUCCESS;03 ;".";1;;COM5;;
1907;20/08/2026 14:19:53;IRP_MJ_READ;DOWN;STATUS_PENDING;;"";;1;COM5;;
1908;20/08/2026 14:19:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;01 00 00 00 ;"....";4;;COM5;;
1909;20/08/2026 14:19:53;IRP_MJ_READ;UP;STATUS_SUCCESS;03 ;".";1;;COM5;;
1910;20/08/2026 14:19:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;STATUS_PENDING;;"";;;COM5;;
1911;20/08/2026 14:19:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM5;;
1912;20/08/2026 14:19:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);DOWN;STATUS_PENDING;;"";;;COM5;;
1913;20/08/2026 14:19:53;IRP_MJ_WRITE;DOWN;STATUS_PENDING;09 ;".";1;1;COM5;;
1914;20/08/2026 14:19:53;IRP_MJ_WRITE;UP;STATUS_SUCCESS;09 ;".";1;;COM5;;
1915;20/08/2026 14:19:53;IRP_MJ_READ;DOWN;STATUS_PENDING;;"";;1;COM5;;
1916;20/08/2026 14:19:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;01 00 00 00 ;"....";4;;COM5;;
1917;20/08/2026 14:19:53;IRP_MJ_READ;UP;STATUS_SUCCESS;09 ;".";1;;COM5;;
